route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"96",11367_13,11367_17629,"JANÓW",,0,96   /09,2418296,0,0
"2",11367_11,11367_1763,"DW. ŁÓDŹ DĄBROWA",,1,2    /02,2418001,0,0
"96",11367_13,11367_17631,"96 ZJAZD DO LIMANOWSKIEGO",,1,96   /09,2418299,0,0
"96",11367_13,11367_17632,"TEOFILÓW ROJNA",,1,96   /10,2418297,0,0
"96",11367_13,11367_17634,"96 ZJAZD DO LIMANOWSKIEGO",,1,96   /10,2418298,0,0
"96",11367_13,11367_17635,"TEOFILÓW ROJNA",,1,96   /11,2418297,0,0
"96",11367_13,11367_17637,"96 ZJAZD DO LIMANOWSKIEGO",,1,96   /11,2418298,0,0
"97A",11367_13,11367_17638,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /01,2418686,0,0
"97A",11367_13,11367_17639,"NOWE SADY ZAJEZDNIA",,1,97   /01,2418687,0,0
"2",11367_11,11367_1764,"KOCHANÓWKA",,0,2    /02,2418000,0,0
"97A",11367_13,11367_17640,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /01,2418686,0,0
"97A",11367_13,11367_17641,"NOWE SADY ZAJEZDNIA",,1,97   /01,2418687,0,0
"97A",11367_13,11367_17642,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /01,2418686,0,0
"97A",11367_13,11367_17643,"NOWE SADY ZAJEZDNIA",,1,97   /01,2418687,0,0
"97A",11367_13,11367_17644,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /01,2418686,0,0
"97A",11367_13,11367_17645,"NOWE SADY ZAJEZDNIA",,1,97   /01,2418687,0,0
"97A",11367_13,11367_17646,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /01,2418686,0,0
"97A",11367_13,11367_17647,"NOWE SADY ZAJEZDNIA",,1,97   /01,2418687,0,0
"97A",11367_13,11367_17648,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /03,2418686,0,0
"97A",11367_13,11367_17649,"NOWE SADY ZAJEZDNIA",,1,97   /03,2418687,0,0
"2",11367_11,11367_1765,"DW. ŁÓDŹ DĄBROWA",,1,2    /02,2418001,0,0
"97A",11367_13,11367_17650,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /03,2418686,0,0
"97A",11367_13,11367_17651,"NOWE SADY ZAJEZDNIA",,1,97   /03,2418687,0,0
"97A",11367_13,11367_17652,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /03,2418686,0,0
"97A",11367_13,11367_17653,"NOWE SADY ZAJEZDNIA",,1,97   /03,2418687,0,0
"97A",11367_13,11367_17654,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /03,2418686,0,0
"97A",11367_13,11367_17655,"NOWE SADY ZAJEZDNIA",,1,97   /03,2418687,0,0
"97A",11367_13,11367_17656,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /03,2418686,0,0
"97A",11367_13,11367_17657,"NOWE SADY ZAJEZDNIA",,1,97   /03,2418687,0,0
"97A",11367_13,11367_17658,"ALEKSANDRÓW ŁÓDZKI TARGOWY RYNEK",,0,97   /03,2418686,0,0
"97A",11367_13,11367_17659,"NOWE SADY ZAJEZDNIA",,1,97   /03,2418687,0,0
"2",11367_11,11367_1766,"KOCHANÓWKA",,0,2    /02,2418000,0,0
